VENDEDOR	CLIENTE	ROTULO	DESCRICAO	OP	COD.CAPACIDADE	CAPACIDADE	DATA ENTRADA	DATA PREPARACAO	DATA LITOGRAFIA	DATA MONSTAGEM	DATA ENTREGA	QUANTIDADE PEDIDO	QTDE FOLHAS	QTDE POR FOLHA	VERNIZ.INT 01	VERNIZ.INT 02	ESMALTE	REVESTIMENTO	VERNIZ.ACABAMENTO	PREPARACAO	1a.COR	2a.COR	3a.COR	4a.COR	5a.COR	LITOGRAFIA	FECHAMENTO
CLAUDIO FRANCO DA ROCHA	INDUSPOL IND.E COM.DE POLIMEROS LTDA	018.0653.01.0	18L (H)- EMBRAPOL	132012	18	18 L.	24/05/2012	26/05/2012	30/05/2012	31/05/2012	02/06/2012	540	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	BORDO  PREPARADO					Ø57	
CLAUDIO FRANCO DA ROCHA	DENVER IMPERMEABILIZANTES IND.E COM,LTDA	018.0103.04.0	18L (H)- DENVER GENERICA	152012	18	18 L.	24/05/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	720	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	LARANJA DENVER	VERMELHO LINOVA				Ø57	
CLAUDIO FRANCO DA ROCHA	GENESIS IND. E COM. DE PRODS. QUIM LTDA	018.0185.01.1	18L (H)- GENESIS  	422012	18	18 L.	29/05/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	1300	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL DURAMAR	VERMELHO LINOVA	PRETO				Ø57	
ANGELA QUIRINO	QUIMICA NACIONAL QUIMIONAL LTDA	018.0205.01.0	18L (H)- QUIMIONAL COLA  	442012	18	18 L.	30/05/2012	18/06/2012	22/06/2012	23/06/2012	25/06/2012	2000	0	0	EPOXI FENOLICO		ESM.BRANCO COMUM	COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERMELHO LINOVA	AZUL EUROPA	LARANJA RILAPLAST			Ø57	
SANDRA REGINA DA SILVA	TORDIN IND. E COM. DE PROD. QUIM. LTDA	018.0300.03.0	18L (H)- ALLEGRO THINNER	472012	18	18 L.	01/06/2012	11/06/2012	15/06/2012	16/06/2012	18/06/2012	2520	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	AZUL EUROPA	AMARELO MEDIO				Ø57	
ROGERIO BARRETTO MARTINS	NATRIELLI QUIMICA LTDA	018.0167.05.2	18L (H)- NATRIELLI  THINNER 	482012	18	18 L.	01/06/2012	07/06/2012	11/06/2012	12/06/2012	14/06/2012	5000	0	0			ESM. AMARELO NATRIELLI	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	BRANCO OPACO	AZUL DURAMAR			Ø42	
ROGERIO BARRETTO MARTINS	NATRIELLI QUIMICA LTDA	018.0167.05.2	18L (H)- NATRIELLI  THINNER 	492012	18	18 L.	01/06/2012	14/06/2012	18/06/2012	19/06/2012	21/06/2012	5000	0	0			ESM. AMARELO NATRIELLI	SEM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	BRANCO OPACO	AZUL DURAMAR			Ø42	
ELENICE MARTIRE	ADESICOL IND. DE ADESIVOS LTA	018.1454.01.0	18L (H)- ADESICOL  USO  PROFISSIONAL	502012	18	18 L.	01/06/2012	06/06/2012	10/06/2012	11/06/2012	13/06/2012	1500	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO PREPARADO	AZUL EUROPA	LARANJA RILAPLAST	VERMELHO LINOVA	PRETO		Ø57	
DALTON	FORMILINE IND. DE LAMINADOS LTDA	018.0430.01.0	18L (H)- EM101 FORMICA  ADESIVO DE CONTATO 	512012	18	18 L.	01/06/2012	25/05/2012	29/05/2012	30/05/2012	01/06/2012	3000	0	0			ESM.BRANCO FORMICA	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	AZUL EUROPA	VERMELHO LINOVA				Ø57	
DALTON	FORMILINE IND. DE LAMINADOS LTDA	018.0430.01.0	18L (H)- EM101 FORMICA  ADESIVO DE CONTATO 	522012	18	18 L.	01/06/2012	30/05/2012	03/06/2012	04/06/2012	06/06/2012	3000	0	0			ESM.BRANCO FORMICA	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	AZUL EUROPA	VERMELHO LINOVA				Ø57	
ANGELA QUIRINO	QUIMICA NACIONAL QUIMIONAL LTDA	018.0205.06.0	DESATIVADO LATA 18L (H) CHAPADO VERDE C/VZ	532012	18	18 L.	01/06/2012	28/05/2012	01/06/2012	02/06/2012	04/06/2012	400	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		VERDE CLARO AMAZONAS						Ø57	
CLAUDIO FRANCO DA ROCHA	CDB IND. E COM. DE PRODS. QUIMICOS LTDA	018.0155.01.1	18L (H)- CDB SOLVENTES USO PROFIS.	542012	18	18 L.	01/06/2012	22/06/2012	26/06/2012	27/06/2012	29/06/2012	1260	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	OURO VIWACRIL	VERMELHO LINOVA				Ø57	
ROGERIO BARRETTO MARTINS	DISSOLTEX IND. QUÍMICA LTDA	018.0100.01.0	18L (H)- DISSOLTEX  SOLVENTE	552012	18	18 L.	05/06/2012	28/05/2012	01/06/2012	02/06/2012	04/06/2012	1500	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO MEDIO	AZUL DURAMAR	PRETO	LARANJA PREPARADO	VERDE PREPARADO		Ø57	
ROGERIO BARRETTO MARTINS	DISSOLTEX IND. QUÍMICA LTDA	018.0100.01.0	18L (H)- DISSOLTEX  SOLVENTE	562012	18	18 L.	05/06/2012	29/06/2012	03/07/2012	04/07/2012	06/07/2012	1500	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO MEDIO	AZUL DURAMAR	PRETO	LARANJA PREPARADO	VERDE PREPARADO		Ø57	
ANGELA QUIRINO	GOL BRASIL IND. QUÍMICA LTDA	018.0112.01.0	18L (H)- GOL QUIMICA  USO  PROFIS.	572012	18	18 L.	05/06/2012	01/06/2012	05/06/2012	06/06/2012	08/06/2012	2940	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PREPARADO	AZUL TOZAN	VERMELHO LINOVA	PRETO			Ø57	
ANGELA QUIRINO	GOL BRASIL IND. QUÍMICA LTDA	018.0112.01.0	18L (H)- GOL QUIMICA  USO  PROFIS.	582012	18	18 L.	05/06/2012	05/06/2012	09/06/2012	10/06/2012	12/06/2012	2940	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PREPARADO	AZUL TOZAN	VERMELHO LINOVA	PRETO			Ø57	
ANGELA QUIRINO	GOL BRASIL IND. QUÍMICA LTDA	018.0112.01.0	18L (H)- GOL QUIMICA  USO  PROFIS.	592012	18	18 L.	05/06/2012	08/06/2012	12/06/2012	13/06/2012	15/06/2012	2940	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PREPARADO	AZUL TOZAN	VERMELHO LINOVA	PRETO			Ø57	
ANGELA QUIRINO	GOL BRASIL IND. QUÍMICA LTDA	018.0112.01.0	18L (H)- GOL QUIMICA  USO  PROFIS.	602012	18	18 L.	05/06/2012	13/06/2012	17/06/2012	18/06/2012	20/06/2012	2940	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		CINZA PREPARADO	AZUL TOZAN	VERMELHO LINOVA	PRETO			Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.01.1	18L (H)- AMAZONAS COM VZ INT	612012	18	18 L.	05/06/2012	30/05/2012	03/06/2012	04/06/2012	06/06/2012	1500	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERDE ESC.AMAZONAS	AZUL AMAZONAS	VERMELHO LINOVA		Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.01.1	18L (H)- AMAZONAS COM VZ INT	622012	18	18 L.	05/06/2012	31/05/2012	04/06/2012	05/06/2012	07/06/2012	1500	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERDE ESC.AMAZONAS	AZUL AMAZONAS	VERMELHO LINOVA		Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.02.6	18L (H)- AMAZONAS SEM VZ INT	632012	18	18 L.	05/06/2012	30/05/2012	03/06/2012	04/06/2012	06/06/2012	1500	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERMELHO LINOVA	AZUL AMAZONAS	VERDE ESC.AMAZONAS		Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.02.6	18L (H)- AMAZONAS SEM VZ INT	642012	18	18 L.	05/06/2012	31/05/2012	04/06/2012	05/06/2012	07/06/2012	1500	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERMELHO LINOVA	AZUL AMAZONAS	VERDE ESC.AMAZONAS		Ø57	
DALTON	FORMILINE IND. DE LAMINADOS LTDA	018.0430.01.0	18L (H)- EM101 FORMICA  ADESIVO DE CONTATO 	652012	18	18 L.	05/06/2012	30/05/2012	03/06/2012	04/06/2012	06/06/2012	3000	0	0			ESM.BRANCO FORMICA	SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	AZUL EUROPA	VERMELHO LINOVA				Ø57	
CLAUDIO FRANCO DA ROCHA	INDUSPOL IND.E COM.DE POLIMEROS LTDA	018.0294.00.0	DESATIVADO LATA 18L (H) NATURAL S/VZ	662012	18	18 L.	06/06/2012	29/05/2012	02/06/2012	03/06/2012	05/06/2012	600	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM								Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.03.1	18L (H)- SOLVENTEX  ZARCOTEX  PREMIUM	672012	18	18 L.	06/06/2012	04/06/2012	08/06/2012	09/06/2012	11/06/2012	360	0	0			ESM.AMARELO PADRÃO	SEM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	BRANCO OPACO	BORDO SV	MARROM ZARCOTEX	PRETO		Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.07.1	18L (H)- SOLVENTEX  PRIMERTEX PREMIUM CINZA	682012	18	18 L.	06/06/2012	04/06/2012	08/06/2012	09/06/2012	11/06/2012	360	0	0			OURO VIWACRIL	SEM VZ INTERNO	ACABAMENTO COMUM		BRANCO OPACO	VERMELHO LINOVA	CINZA PRIMERTEX	PRETO			Ø42	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.30.0	18L (H)- SOLVENTEX  GALVANITEX	692012	18	18 L.	06/06/2012	04/06/2012	08/06/2012	09/06/2012	11/06/2012	180	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	BRANCO OPACO 2ªPASS	BRANCO OPACO	VERMELHO LINOVA			Ø57	
CLAUDIO FRANCO DA ROCHA	SOLVENTEX IND. QUIM. LTDA	018.0291.31.1	18L (H)- SOLVENTEX  PRIMER  ACABAMENTO CINZA	702012	18	18 L.	06/06/2012	04/06/2012	08/06/2012	09/06/2012	11/06/2012	360	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL ESCALA	VERMELHO LINOVA	PRETO	CINZA GRAFITEX			Ø57	
ELENICE MARTIRE	CREATIVE IND. E COM. LTDA.	018.0294.00.0	DESATIVADO LATA 18L (H) NATURAL S/VZ	712012	18	18 L.	06/06/2012	30/05/2012	03/06/2012	04/06/2012	06/06/2012	600	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM								Ø57	
DALTON	KILLING BAHIA TINTAS E ADESIVOS LTDA.	018.1233.01.0	18L (H)- KILLING KISAFIX  USO PROFIS. C/VZ	722012	18	18 L.	06/06/2012	02/06/2012	06/06/2012	07/06/2012	09/06/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		OURO VIWACRIL	AZUL PREPARADO	VERMELHO PREPARADO	BRANCO OPACO			Ø57	
DALTON	ARTECOLA INDÚSTRIAS QUÍMICAS LTDA  RS	018.0661.01.3	18L (H)- ARTECOLA  ADES .DE CONT.AFIX  EXTRA 14KG	732012	18	18 L.	06/06/2012	02/06/2012	06/06/2012	07/06/2012	09/06/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	VERMELHO PREPARADO	CINZA PREPARADO	VERDE PREPARADO	PRETO		Ø57	
DALTON	ARTECOLA INDUSTRIAS QUIMICAS LTDA  BA	018.0661.01.3	18L (H)- ARTECOLA  ADES .DE CONT.AFIX  EXTRA 14KG	742012	18	18 L.	06/06/2012	02/06/2012	06/06/2012	07/06/2012	09/06/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	VERMELHO PREPARADO	CINZA PREPARADO	VERDE PREPARADO	PRETO		Ø57	
DALTON	AMAZONAS PROD. PARA CALÇADOS LTDA - SP	018.0609.02.6	18L (H)- AMAZONAS SEM VZ INT	752012	18	18 L.	06/06/2012	02/06/2012	06/06/2012	07/06/2012	09/06/2012	3000	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERMELHO LINOVA	AZUL AMAZONAS	VERDE ESC.AMAZONAS		Ø57	
DALTON	AMAZONAS PROD.PARA CALÇADOS LTDA-BA	018.0609.01.1	18L (H)- AMAZONAS COM VZ INT	762012	18	18 L.	06/06/2012	02/06/2012	06/06/2012	07/06/2012	09/06/2012	3000	0	0	EPOXI FENOLICO			COM VZ INTERNO	ACABAMENTO COMUM		PRETO	VERDE CLARO AMAZONAS	VERDE ESC.AMAZONAS	AZUL AMAZONAS	VERMELHO LINOVA		Ø57	
SANDRA REGINA DA SILVA	TORDIN IND. E COM. DE PROD. QUIM. LTDA	018.0300.05.0	18L (H)- ALLEGRO TINTAS ESPECIAIS	772012	18	18 L.	08/06/2012	05/06/2012	09/06/2012	10/06/2012	12/06/2012	2520	0	0			ESM.BRANCO COMUM	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL EUROPA	AMARELO MEDIO	VERMELHO LINOVA				Ø57	
CLAUDIO FRANCO DA ROCHA	LUZTOL IND. QUIMICA LTDA	018.1209.02.0	18L (H)- LUZTOL  LINHA  MADEIRA  IND.	782012	18	18 L.	08/06/2012	01/06/2012	05/06/2012	06/06/2012	08/06/2012	260	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO ESCALA	BRANCO BRILTINTAS	VERMELHO TRANSPARENTE	BRANCO BRILTINTAS 2ªPASS	PRETO		Ø57	
CLAUDIO FRANCO DA ROCHA	LUZTOL IND. QUIMICA LTDA	018.1209.03.0	18L (H)- LUZTOL  GENERICA	792012	18	18 L.	08/06/2012	01/06/2012	05/06/2012	06/06/2012	08/06/2012	170	0	0				SEM VZ INTERNO	ACABAMENTO COMUM		AZUL TOZAN	VERMELHO LINOVA	OURO PREPARADO	PRETO	BRANCO BRILTINTAS		Ø57	
ANGELA QUIRINO	GLOBALCOLOR TINTAS INDUSTRIAIS LTDA.EPP	018.1165.01.0	18L (H)- GLOBAL COLOR TINTAS INDUSTRIAIS	802012	18	18 L.	08/06/2012	27/06/2012	01/07/2012	02/07/2012	04/07/2012	1000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO EUROPA	AZUL EUROPA	MAGENTA EUROPA	PRETO			Ø42	
OCTAVIO ALGUSTO MARTINS	RAFBRAS PRODS. DE PETROLEO LTDA	018.0490.01.0	18L (H)- SOLRAF  USO PROFISSIONAL	812012	18	18 L.	08/06/2012	01/06/2012	05/06/2012	06/06/2012	08/06/2012	1000	0	0			ESM.BRANCO DULUX	SEM VZ INTERNO	ACABAMENTO COMUM		AMARELO ESCALA	VERDE PREPARADO	AZUL DURAMAR	AMARELO EUROPA	PRETO		Ø57	
DALTON	FORMILINE IND. DE LAMINADOS LTDA	018.0079.01.0	DESATIVADO  18L (H)- BIQ BERTONCINI COLA EM022	822012	18	18 L.	11/06/2012	05/06/2012	09/06/2012	10/06/2012	12/06/2012	3000	0	0			ESMALTE BRANCO BIQ	SEM VZ INTERNO	ACABAMENTO COMUM		AZUL PREPARADO	VERMELHO PREPARADO					Ø57	
DALTON	ARTECOLA INDÚSTRIAS QUÍMICAS LTDA  RS	018.0074.04.1	18L (H)-  ARTECOLA   FORBO  ADES. INCOLOR	832012	18	18 L.	11/06/2012	05/06/2012	09/06/2012	10/06/2012	12/06/2012	3000	0	0	EPOXI FENOLICO		ESM.BRANCO DULUX	COM VZ INTERNO	ACABAMENTO COMUM		VERMELHO LINOVA	PRETO	AZUL EUROPA				Ø57	
